,Mean Firing Rate (hz),Weighted Mean Firing Rate (Hz),Burst Frequency - Avg (Hz),Burst Duration - Avg (s),Normalized Duration IQR - Avg,IBI Coefficient of Variation - Avg,Burst Percentage - Avg,Network Burst Frequency (Hz),Network Burst Duration - Avg (sec),Network Burst Percentage,Network IBI Coefficient of Variation,Network Normalized Duration IQR,Area Under Normalized Cross-Correlation
PC1,0.7145187080772494,0.6778925495609618,0.07423425367347133,0.046738140735567896,-0.05801803631859049,-0.02109020076675754,0.02622108537202947,0.06703516746564353,0.08224679744780129,0.04103432319769101,-0.06352631606302889,-0.025955053784403867,0.008931501407749363
PC2,-0.033881034845325786,-0.03784479651591588,0.024830234011649934,-0.07693719784378476,-0.04929313811790909,-0.672886586951362,-0.019918292976401623,0.04038267516296375,-0.13915770048334186,-0.039035248193415924,-0.7160570777337031,0.0035315796731831,0.0033876061642620463
PC3,-0.05734635349066603,-0.0686019668097577,-0.1239516219466391,0.21303328311895034,-0.8452458879626455,0.0011244267590907514,0.0762032053820376,-0.09238564521439781,0.34046780571239865,0.09760019311151173,-0.04388948738734758,-0.27404993657131943,-0.0005393757065885219
PC4,-0.02577640644883844,-0.043877134898763555,-0.1352865523394269,0.2832669117334929,0.46291325304657516,0.09426351211859958,0.07772945193096772,-0.19594948735935336,0.7214488885241236,0.10103158602400263,-0.31120243468329295,-0.059834852916630564,0.011505451585303708
PC5,-0.07266237554176462,0.13884886921724096,0.010966926223017287,-0.032027499669612436,-0.029645583505391787,-0.1944724082520496,-0.529020748984506,-0.1858155618813456,0.24842467962598416,-0.7017386920022195,0.17797205656847254,-0.012651078376815325,-0.1876706327642972
PC6,-0.06789514571728499,0.0253114753110052,0.2301419833333035,-0.17715938930363287,-0.006880596721738652,0.576986550971259,-0.29839438592289347,0.19916419117701434,-0.10038047687061319,-0.07284352675408665,-0.472650648399338,-0.4351330166608986,-0.14356389635510858
PC7,0.027959036280954547,-0.032149385985274635,-0.003581889837571251,-0.012603686644085333,-0.24483973253003852,0.33486353025770804,-0.11413560643222546,-0.02785616785921036,0.06964826451615522,-0.054017429448040395,-0.30122848993234064,0.8438122709789792,-0.040044099662545025
PC8,-0.4249039055526212,0.4211898293276392,-0.06403685505140501,0.30583272607584905,0.026075855557829545,-0.11678137663646161,-0.41764445324623517,0.18587262221163148,-0.050894914825646835,0.4813696327994764,0.07560518104168076,0.08711657635623361,-0.2711376133495313
PC9,0.023560357385201663,-0.15130942920049287,0.472640465152618,-0.4113251639341709,-0.03979165455194514,-0.18902260939149845,0.005589688420418296,0.47205091233206453,0.47966631071158883,0.17296561484416137,0.17136003661773014,0.09418971214027515,-0.15988714067628657
PC10,-0.5040201456439476,0.5475477547459464,0.04518157848642797,-0.43648443611534965,-0.04025666483025866,0.060938019077456156,0.3937977930841152,-0.21136450320499225,0.10434953109848212,-0.09383021744400169,-0.048305005792612515,0.017472891808996492,0.16179556510626966
PC11,-0.16968180695007884,0.07330882169721221,0.5645438912750244,0.6116720546913913,0.0021051533693541334,0.011134469895322503,0.3446163296648891,0.19151560893759725,-0.08114991931225035,-0.3281280040081708,-0.017610058176845102,0.04730729340955141,-0.024757858927847314
PC12,-0.07117563150882404,0.031181032117072353,0.09296516817853036,0.07568436073700721,-0.015012876263302357,-0.010160009594989161,-0.3428848435135334,0.19776689741202477,0.08021737113377883,0.011932655428233496,0.016154314454520684,0.007666512730089411,0.9031521475912777
PC13,0.06854321131062473,-0.07067084265018624,0.5917976111186236,-0.024316520568613675,-0.02209891335750049,-0.04144041307945378,-0.1981730421925481,-0.7029429775906538,-0.06513684233254728,0.31328850670852526,0.02563746246149168,-0.006876628396416647,0.02806485553401103
